Date,AAPL,PG,XOM
2020-01-02,72.79601287841797,109.08100128173828,55.63116455078125
2020-01-03,72.08829498291016,108.34736633300781,55.183921813964844
2020-01-06,72.66271209716797,108.49761962890625,55.607635498046875
2020-01-07,72.32096862792969,107.82587432861328,55.15253829956055
2020-01-08,73.48434448242188,108.2854995727539,54.32081604003906
2020-01-09,75.04520416259766,109.46990203857422,54.7366828918457
2020-01-10,75.21487426757812,109.57595825195312,54.25019454956055
2020-01-13,76.82176971435547,110.38031768798828,54.76805877685547
2020-01-14,75.78445434570312,110.21237182617188,54.29726791381836
2020-01-15,75.45966339111328,111.33493041992188,54.21096420288086
2020-01-16,76.40491485595703,111.43213653564453,53.99911880493164
2020-01-17,77.25078582763672,111.732666015625,53.79510498046875
2020-01-21,76.72727966308594,111.4498291015625,53.02615737915039
2020-01-22,77.00114440917969,111.64427947998047,52.72014617919922
2020-01-23,77.37198638916016,111.1339111328125,52.390594482421875
2020-01-24,77.14899444580078,111.26727294921875,52.037513732910156
2020-01-27,74.88040924072266,111.75631713867188,50.79777526855469
2020-01-28,76.99871826171875,112.05862426757812,50.72715377807617
2020-01-29,78.61048889160156,111.1961441040039,50.303443908691406
2020-01-30,78.49656677246094,111.98748016357422,50.83700180053711
2020-01-31,75.01614379882812,110.80492401123047,48.742008209228516
2020-02-03,74.81011199951172,111.24060821533203,47.6513557434082
2020-02-04,77.27986145019531,111.72964477539062,47.055030822753906
2020-02-05,77.91004180908203,112.75213623046875,49.22063446044922
2020-02-06,78.82135772705078,113.04554748535156,48.55369567871094
2020-02-07,77.74996185302734,112.10307312011719,48.231998443603516
2020-02-10,78.1192398071289,112.18310546875,47.72261428833008
2020-02-11,77.64791107177734,110.39591979980469,48.176273345947266
2020-02-12,79.49187469482422,109.76461791992188,48.765254974365234
2020-02-13,78.92581176757812,111.10723114013672,48.4946403503418
2020-02-14,78.94528198242188,112.1563949584961,48.271785736083984
2020-02-18,77.49971771240234,111.02721405029297,47.658931732177734
2020-02-19,78.62213897705078,111.53401947021484,48.025054931640625
2020-02-20,77.8155517578125,112.54763793945312,47.643028259277344
2020-02-21,76.05420684814453,112.65435028076172,47.062007904052734
2020-02-24,72.44158935546875,109.63125610351562,44.857337951660156
2020-02-25,69.98783874511719,107.96856689453125,43.13817596435547
2020-02-26,71.09810638427734,106.83934783935547,42.19105529785156
2020-02-27,66.45054626464844,100.91765594482422,39.6521110534668
2020-02-28,66.41165924072266,100.67760467529297,40.94147491455078
2020-03-02,72.59463500976562,106.30586242675781,42.88349914550781
2020-03-03,70.28909301757812,105.0699462890625,40.830055236816406
2020-03-04,73.54943084716797,110.6982192993164,41.721458435058594
2020-03-05,71.1637191772461,108.1463851928711,39.8829231262207
2020-03-06,70.21863555908203,108.17306518554688,37.95682144165039
2020-03-09,64.66490936279297,103.19385528564453,33.316688537597656
2020-03-10,69.32215881347656,107.18610382080078,34.55034637451172
2020-03-11,66.9145736694336,99.21941375732422,33.41218948364258
2020-03-12,60.30644226074219,90.55024719238281,29.591838836669922
2020-03-13,67.53164672851562,101.42446899414062,30.33998680114746
2020-03-16,58.84391403198242,96.4719467163086,27.450847625732422
2020-03-17,61.43128967285156,105.1322021484375,29.29734992980957
2020-03-18,59.92745590209961,104.4297866821289,26.360456466674805
2020-03-19,59.468284606933594,98.54365539550781,27.403095245361328
2020-03-20,55.692909240722656,91.07484436035156,26.058012008666992
2020-03-23,54.50975799560547,86.86920166015625,25.031286239624023
2020-03-24,59.97847366333008,91.82173919677734,28.206958770751953
2020-03-25,59.64806365966797,89.73223876953125,29.67938995361328
2020-03-26,62.78692626953125,95.4760971069336,30.897127151489258
2020-03-27,60.18740463256836,97.95683288574219,29.408775329589844
2020-03-30,61.905029296875,102.25138092041016,29.846529006958008
2020-03-31,61.77869415283203,97.80564880371094,30.220609664916992
2020-04-01,58.52808380126953,97.2099380493164,29.870405197143555
2020-04-02,59.50472640991211,101.71790313720703,32.154659271240234
2020-04-03,58.64956283569336,102.322509765625,31.207534790039062
2020-04-06,63.76599884033203,104.74986267089844,32.21037292480469
2020-04-07,63.02743911743164,100.26858520507812,32.82322311401367
2020-04-08,64.6406021118164,102.34030151367188,34.900543212890625
2020-04-09,65.10704803466797,101.94905853271484,34.327491760253906
2020-04-13,66.38495635986328,103.0960693359375,34.032997131347656
2020-04-14,69.73760223388672,107.5506820678711,33.770355224609375
2020-04-15,69.10108947753906,107.78184509277344,32.21833801269531
2020-04-16,69.650146484375,108.03080749511719,31.159772872924805
2020-04-17,68.705078125,110.8671646118164,34.39912414550781
2020-04-20,67.27900695800781,107.2305679321289,32.77546691894531
2020-04-21,65.19937896728516,106.41256713867188,32.600364685058594
2020-04-22,67.0773696899414,106.16360473632812,33.53158187866211
2020-04-23,66.81739807128906,106.87161254882812,34.582176208496094
2020-04-24,68.74638366699219,106.3166732788086,34.80502700805664
2020-04-27,68.79497528076172,105.126220703125,34.97217559814453
2020-04-28,67.67986297607422,104.62496948242188,35.791961669921875
2020-04-29,69.90283203125,104.79503631591797,37.773765563964844
2020-04-30,71.37749481201172,105.50215911865234,36.98582458496094
2020-05-01,70.22834014892578,104.56232452392578,34.335445404052734
2020-05-04,71.22200775146484,103.62249755859375,35.720333099365234
2020-05-05,72.29096221923828,103.8373031616211,35.68053436279297
2020-05-06,73.03680419921875,101.23265838623047,35.0119743347168
2020-05-07,73.79236602783203,100.40023040771484,35.2109489440918
2020-05-08,75.54876708984375,103.78361511230469,36.7550048828125
2020-05-11,76.73753356933594,103.21076965332031,36.40481185913086
