Date,AAPL,PG,XOM
2022-01-03,179.07659912109375,150.33633422851562,57.148406982421875
2022-01-04,176.80381774902344,150.86233520507812,59.29798889160156
2022-01-05,172.100830078125,151.54530334472656,60.03550720214844
2022-01-06,169.22792053222656,150.27174377441406,61.447574615478516
2022-01-07,169.39520263671875,150.1886749267578,61.95124435424805
2022-01-10,169.41485595703125,148.139892578125,61.582489013671875
2022-01-11,172.25828552246094,146.42335510253906,64.17279052734375
2022-01-12,172.70101928710938,146.74635314941406,63.98389434814453
2022-01-13,169.41485595703125,146.08187866210938,63.52520751953125
2022-01-14,170.2806854248047,147.48463439941406,64.64048767089844
2022-01-18,167.06338500976562,144.64219665527344,65.728759765625
2022-01-19,163.55091857910156,149.50575256347656,65.75575256347656
2022-01-20,161.858642578125,150.31298828125,65.8996353149414
2022-01-21,159.79249572753906,150.88829040527344,64.9103012084961
2022-01-24,159.0152130126953,149.66348266601562,65.46793365478516
2022-01-25,157.2048797607422,148.0304412841797,67.3926773071289
2022-01-26,157.1163330078125,146.74073791503906,66.70912170410156
2022-01-27,156.6538848876953,147.65003967285156,67.56356048583984
2022-01-28,167.58485412597656,148.9211883544922,67.70745086669922
2022-01-31,171.96310424804688,148.87478637695312,68.31904602050781
2022-02-01,171.7958984375,148.2160186767578,72.69917297363281
2022-02-02,173.00604248046875,150.86972045898438,72.51029205322266
2022-02-03,170.11338806152344,152.29859924316406,71.66485595703125
2022-02-04,169.82772827148438,149.87689208984375,73.2208251953125
2022-02-07,169.10861206054688,148.7541961669922,74.10224914550781
2022-02-08,172.23147583007812,148.420166015625,72.1865234375
2022-02-09,173.65988159179688,148.08615112304688,71.8409423828125
2022-02-10,169.56173706054688,145.8314208984375,71.14981842041016
2022-02-11,166.1334686279297,145.01492309570312,72.94129180908203
2022-02-14,166.36990356445312,145.43246459960938,71.82276916503906
2022-02-15,170.2217559814453,145.50669860839844,70.9224853515625
2022-02-16,169.98533630371094,146.61085510253906,71.24984741210938
2022-02-17,166.36990356445312,148.29026794433594,71.14073181152344
2022-02-18,164.81338500976562,148.36448669433594,70.34957885742188
2022-02-22,161.877685546875,146.5365753173828,69.5311279296875
2022-02-23,157.69085693359375,144.708740234375,69.81304168701172
2022-02-24,160.3211669921875,140.8117218017578,68.9309310913086
2022-02-25,162.3998260498047,146.82420349121094,70.78605651855469
2022-02-28,162.66578674316406,144.643798828125,71.31350708007812
2022-03-01,160.77432250976562,142.24989318847656,71.99553680419922
2022-03-02,164.0843505859375,142.6952362060547,73.2322998046875
2022-03-03,163.75930786132812,143.22415161132812,73.69607543945312
2022-03-04,160.7447509765625,143.94784545898438,76.46968078613281
2022-03-07,156.93226623535156,141.8137969970703,79.22510528564453
2022-03-08,155.09994506835938,136.2002410888672,79.8252944946289
2022-03-09,160.52804565429688,138.0374298095703,75.2874984741211
2022-03-10,156.16387939453125,134.4837188720703,77.62460327148438
2022-03-11,152.4302215576172,132.8878173828125,77.22447967529297
2022-03-14,148.3813018798828,134.5857696533203,74.4599609375
2022-03-15,152.78485107421875,139.42919921875,70.22225189208984
2022-03-16,157.21795654296875,138.9559783935547,69.95853424072266
2022-03-17,158.23269653320312,139.39212036132812,71.82276916503906
2022-03-18,161.542724609375,139.31790161132812,71.54085540771484
2022-03-21,162.92190551757812,139.8467254638672,74.75094604492188
2022-03-22,166.31080627441406,140.9230499267578,74.42359924316406
2022-03-23,167.6801300048828,139.93954467773438,75.59668731689453
2022-03-24,171.48277282714844,140.18077087402344,75.82402801513672
2022-03-25,172.12307739257812,141.8045196533203,77.47908782958984
2022-03-28,172.99000549316406,142.77880859375,75.3056869506836
2022-03-29,176.30007934570312,144.24481201171875,74.90555572509766
2022-03-30,175.12777709960938,143.25196838378906,76.18778228759766
2022-03-31,172.0147247314453,141.7766876220703,75.1056137084961
2022-04-01,171.71917724609375,143.9014892578125,75.58760070800781
2022-04-04,175.7877960205078,142.96434020996094,75.62397003173828
2022-04-05,172.45803833007812,143.4653778076172,75.23294830322266
2022-04-06,169.27606201171875,145.5159454345703,76.0695571899414
2022-04-07,169.58143615722656,147.39950561523438,77.34269714355469
2022-04-08,167.56192016601562,148.55003356933594,78.97047424316406
2022-04-11,163.2864227294922,147.9840850830078,76.2514419555664
2022-04-12,165.16802978515625,147.5386962890625,77.84283447265625
2022-04-13,167.86727905273438,147.9562225341797,78.94319152832031
2022-04-14,162.83323669433594,147.13043212890625,79.87075805664062
2022-04-18,162.6165313720703,145.7293701171875,80.5255126953125
2022-04-19,164.911865234375,147.9098358154297,79.80711364746094
2022-04-20,164.74441528320312,151.84393310546875,79.98897552490234
2022-04-21,163.94647216796875,151.72547912597656,79.14324951171875
2022-04-22,159.38526916503906,150.4564971923828,77.41544342041016
2022-04-25,160.45909118652344,151.66946411132812,74.80552673339844
2022-04-26,154.4694366455078,149.09420776367188,74.83280181884766
2022-04-27,154.2428741455078,148.69300842285156,76.9698486328125
2022-04-28,161.20779418945312,152.471923828125,79.29786682128906
2022-04-29,155.3068084716797,149.80332946777344,77.52456665039062
2022-05-02,155.61221313476562,147.77862548828125,78.5794448852539
2022-05-03,157.10958862304688,145.75384521484375,80.19815063476562
2022-05-04,163.55242919921875,146.82688903808594,83.39005279541016
2022-05-05,154.43988037109375,144.1210174560547,82.12602233886719
